id,name
1,A1
2,F1
3,D1
4,TB1
5,TG1
7,B1
8,G1
9,E1
10,TC1
11,TAA1
13,C1
14,A1
15,F1
16,TD1
19,D1
20,B1
21,G1
22,TE1
23,TCC1
25,E1
26,C1
27,TA1
28,TF1
29,TDD1
31,A2
32,F2
33,D2
34,TB2
35,TG2
37,B2
38,G2
39,E2
40,TC2
41,TAA2
43,C2
44,A2
45,F2
46,TD2
47,TBB2
49,D2
50,B2
51,G2
52,TE2
53,TCC2
55,E2
56,C2
57,TA2
58,TF2
59,TDD2
1,L1
2,L2
3,L3
4,L4
5,L5
6,L6
7,L7
8,L8
9,L9
10,L10
11,L11
12,L12
13,L13
14,L14
15,L15
16,L16
19,L19
20,L20
21,L21
22,L22
23,L23
24,L24
25,L25
26,L26
27,L27
28,L28
29,L29
30,L30
31,L31
32,L32
33,L33
34,L34
35,L35
36,L36
37,L37
38,L38
39,L39
40,L40
41,L41
42,L42
43,L43
44,L44
45,L45
46,L46
47,L47
48,L48
49,L49
50,L50
51,L51
52,L52
53,L53
54,L54
55,L55
56,L56
57,L57
58,L58
59,L59
60,L60
